annee,pib_usd,population_totale,acces_electricite_pct,pib_par_habitant
1960,171057069.137772,1673110,,102.24
1961,178497098.264275,1702717,,104.83
1962,186745757.859216,1732959,,107.76
1963,202305865.235908,1765072,,114.62
1964,234572186.455851,1799410,,130.36
1965,264505506.022433,1835588,,144.10
1966,305227594.821437,1873489,,162.92
1967,327215843.636336,1912764,,171.07
1968,341691567.465593,1953523,,174.91
1969,378091809.602636,2043416,,185.03
1970,358665753.909298,2149478,,166.86
1971,404648367.76644,2219826,,182.29
1972,474043921.843537,2283863,,207.56
1973,574030983.980053,2344510,,244.84
1974,791450308.362944,2404292,,329.18
1975,871781686.907321,2463796,,353.84
1976,874681611.928369,2523488,,346.62
1977,1097893825.98815,2583984,,424.88
1978,1164025637.26464,2646501,,439.84
1979,1259365711.53521,2714349,,463.97
1980,1604836915.96662,2791408,,574.92
1981,1359026709.45126,2879440,,471.98
1982,1160337039.38068,2961652,,391.79
1983,1081387264.60786,3033077,,356.53
1984,1014170069.21689,3105743,,326.55
1985,1076604520.42427,3194539,,337.01
1986,1498219578.86978,3296340,,454.51
1987,1763978065.8368,3397614,,519.18
1988,1947208354.22555,3501545,,556.10
1989,1910635575.38044,3606918,,529.71
1990,2299665505.61434,3714021,,619.18
1991,2262767860.10937,3822636,,591.94
1992,2390796915.91958,3932581,,607.95
1993,1741944426.20894,3887974,,448.03
1994,1387662121.46736,3904183,,355.43
1995,1849110468.19569,4110450,,449.86
1996,2069506014.46659,4291136,,482.27
1997,2116818622.95834,4438794,,476.89
1998,2241650112.33333,4551635,15.3,492.49
1999,2226577203.91399,4665754,16.0729999542236,477.22
2000,2106848752.27753,4783722,17,440.42
2001,2093498674.49678,4904144,19.6,426.88
2002,2410199032.43102,5027130,21.3,479.44
2003,2987984050.99318,5154112,23,579.73
2004,3191561508.69088,5281320,24.8,604.31
2005,3221910408.46516,5413154,26.5,595.20
2006,3320907721.74508,5569664,27.9,596.25
2007,3759962853.26476,5748443,30,654.08
2008,4578847112.70688,5936138,31.8,771.35
2009,4721888275.26937,6130946,33.7,770.17
2010,4746386893.22553,6325788,30.8,750.32
2011,5422439152.10906,6500582,39.7,834.15
2012,5413541649.14901,6653718,39.1,813.61
2013,6021729629.82454,6798848,41,885.70
2014,6393314707.85456,6937644,45.7,921.54
2015,5755457836.01866,7071502,44.7,813.89
2016,6071167584.1951,7200884,46.8,843.11
2017,6387424239.8801,7324386,48,872.08
2018,7029215766.46367,7458206,50,942.48
2019,6992942458.99419,7619925,52.5,917.72
2020,7486031561.86885,7788054,54.1,961.22
2021,8541668141.26198,7936176,55.7,1076.30
2022,8646453099.4124,8068616,57.2,1071.62
2023,9723300576.72675,8223850,59.2,1182.33
2024,10643440332.2445,8406558,61.1,1266.09
2025,11889949067.4697,8591626,,1383.90
